2026-04-12 23:10:55.737 | INFO     | __main__:main:73 - matplotlib backend = Agg
2026-04-12 23:10:55.738 | INFO     | __main__:main:83 - 已加载 sim/noise：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 23:10:55.739 | INFO     | __main__:main:90 - 海洋扰动参数：mean_N=0.0 mean_E=0.0 ou_sigma=0.03 dvl_turb=0.02 usbl_ou_sigma=1.0 burst_p=0.02
2026-04-12 23:10:56.150 | INFO     | __main__:main:131 - 位置误差（平面 ‖Δp‖₂ m）：INS mean=160.421565 max=429.958702 | INS+DVL+USBL EKF mean=4.823757 max=8.944159 | INS+USBL EKF mean=4.717659 max=12.831964
2026-04-12 23:10:56.354 | INFO     | __main__:main:39 - 启动仿真与融合流程
2026-04-12 23:10:56.424 | INFO     | __main__:main:42 - matplotlib backend = Agg
2026-04-12 23:10:56.600 | INFO     | __main__:main:52 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 23:10:56.640 | INFO     | __main__:main:60 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 23:10:56.697 | INFO     | __main__:main:66 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 23:10:56.900 | INFO     | __main__:main:83 - 位置误差统计（相对真值，平面 ‖Δp‖₂，单位 m）： INS only  mean=160.421565 max=429.958702 | INS+DVL+USBL EKF mean=0.584177 max=1.988389 | INS+USBL EKF mean=4.895772 max=11.077818
2026-04-12 23:10:56.900 | INFO     | __main__:main:97 - 融合完成，开始绘图
2026-04-12 23:10:57.176 | INFO     | __main__:main:104 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 23:11:30.643 | INFO     | __main__:main:70 - 海洋扰动仿真：sim_ini=/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini marine_ini=/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/marine.ini
2026-04-12 23:11:30.710 | INFO     | __main__:main:73 - matplotlib backend = Agg
2026-04-12 23:11:30.711 | INFO     | __main__:main:83 - 已加载 sim/noise：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 23:11:30.712 | INFO     | __main__:main:90 - 海洋扰动参数：mean_N=0.05 mean_E=-0.02 ou_sigma=0.03 dvl_turb=0.02 usbl_ou_sigma=1.0 burst_p=0.02
2026-04-12 23:11:31.070 | INFO     | __main__:main:131 - 位置误差（平面 ‖Δp‖₂ m）：INS mean=50.840190 max=156.987731 | INS+DVL+USBL EKF mean=10.550698 max=24.627113 | INS+USBL EKF mean=4.326357 max=11.596751
2026-04-12 23:13:15.668 | INFO     | __main__:main:70 - 海洋扰动仿真：sim_ini=/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini marine_ini=configs/marine.ini
2026-04-12 23:13:15.732 | INFO     | __main__:main:73 - matplotlib backend = Agg
2026-04-12 23:13:15.887 | INFO     | __main__:main:83 - 已加载 sim/noise：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 23:13:15.887 | INFO     | __main__:main:90 - 海洋扰动参数：mean_N=0.05 mean_E=-0.02 ou_sigma=0.03 dvl_turb=0.02 usbl_ou_sigma=1.0 burst_p=0.02
2026-04-12 23:13:16.241 | INFO     | __main__:main:131 - 位置误差（平面 ‖Δp‖₂ m）：INS mean=50.840190 max=156.987731 | INS+DVL+USBL EKF mean=10.550698 max=24.627113 | INS+USBL EKF mean=4.326357 max=11.596751
2026-04-12 23:13:16.530 | INFO     | __main__:main:149 - 已保存图像 2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots_marine
