timestamp[ns],ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s],lin_acc_x[m/s^2],lin_acc_y[m/s^2],lin_acc_z[m/s^2]
1652274620121566720,0.0020421810913830996,-0.002296529710292816,0.015402211807668209,0.15638574457941576,-9.821431389546394,-0.16878177335923536
1652274620124570112,0.005197036545723677,-0.00418687891215086,0.017458966001868248,0.17695905193286016,-9.824835645031929,-0.16700944819077848
1652274620127570688,0.007721162401139736,-0.0028953226283192635,0.01619052328169346,0.19205971829518675,-9.844462721043824,-0.1661339805305004
1652274620130574080,0.005605363752692938,-0.0020462623797357082,0.017768532037734985,0.16638276765979826,-9.842743057644366,-0.14503713336014187
1652274620133574656,0.004476926755160093,-0.000856138882227242,0.018155649304389954,0.14553482634974643,-9.849691853868961,-0.1377987887375988
1652274620136578048,0.0011690835235640407,0.00022365525364875793,0.01993001252412796,0.1745066172794439,-9.85642671508193,-0.15669839072516187
1652274620139578624,0.0034532519057393074,-0.00258358521386981,0.02027375064790249,0.16458494272390378,-9.85094273071289,-0.1474124111241195
1652274620142587904,0.003204966429620981,0.0013907452812418342,0.01969212479889393,0.14164965547947211,-9.843044670939445,-0.14296950590638444
1652274620145594368,0.0012022581649944186,-0.0034197343047708273,0.02081422507762909,0.14359794000303372,-9.833594121026993,-0.1580911054588854
1652274620148598016,0.0016932094004005194,-0.0009632047731429338,0.018839554861187935,0.14662480441038495,-9.853370834642648,-0.16574401309853418
1652274620151604224,0.002878500148653984,0.0006691233720630407,0.018244195729494095,0.12681650834637692,-9.856279415565728,-0.16374200736004857
1652274620154607616,-0.00031830649822950363,5.097137182019651e-05,0.018003957346081734,0.11323861283822916,-9.830830501532555,-0.16591752476822583
1652274620157607936,0.0005244879284873605,-0.0025004276540130377,0.01795058324933052,0.11472331670434213,-9.819067583024502,-0.16624368798267095
1652274620160611328,0.0029578281100839376,-0.004316900856792927,0.016660120338201523,0.11878220017370768,-9.82681015997529,-0.1785016234660521
1652274620163611904,0.0011777870822697878,-0.0024863206781446934,0.013438453897833824,0.12491678480543196,-9.834521172744035,-0.19881971394941209
1652274620166615296,0.0026113532949239016,-0.004758854396641254,0.016578368842601776,0.11958678542170673,-9.818972890478372,-0.2233234926195815
1652274620169615616,0.0037206863053143024,-0.003223394276574254,0.014594229869544506,0.13839198712408543,-9.806281166687608,-0.202704738689214
1652274620172619008,0.002699641976505518,-0.004180490504950285,0.012203551828861237,0.16467638386702163,-9.824714064478874,-0.18641871673353017
1652274620175619584,0.0022414224222302437,-0.005634265951812267,0.01613547094166279,0.15007061574901454,-9.845042566758394,-0.17512779965139924
1652274620178622976,0.0015685420949012041,-0.004478556104004383,0.013243990950286388,0.13607284172782674,-9.840715935730934,-0.1859045201336965
1652274620181623808,0.003039402887225151,-0.000937618431635201,0.012920939363539219,0.14726020710393786,-9.819604174119233,-0.2161418374871835
1652274620184627200,0.003160234075039625,-0.003791908035054803,0.013552878983318806,0.1541850379310548,-9.83020272502303,-0.21954331649374215
1652274620187627520,0.0027705938555300236,-0.0017536124214529991,0.014557022601366043,0.14294525738111696,-9.842425077736378,-0.201362822560966
1652274620190630912,0.0005802236264571548,1.6776553820818663e-05,0.014236479997634888,0.15096602108562365,-9.831540111106634,-0.19423525396967306
1652274620193631488,0.002138229552656412,-0.0016066511161625385,0.01396234892308712,0.16211742009920999,-9.81358593674302,-0.19990051318975163
1652274620196634880,0.005374100990593433,-0.002186411991715431,0.017755448818206787,0.17277568356730044,-9.82995956391692,-0.18884707639161497
1652274620199635456,0.006044407840818167,0.0006095686694607139,0.016795959323644638,0.15819072990845887,-9.847570039409398,-0.1810038703442551
1652274620202638592,0.005044631659984589,-0.00019535364117473364,0.01675921119749546,0.13500836343462577,-9.846735342150925,-0.17176409537196158
1652274620205639168,0.008178736083209515,-0.000506500480696559,0.015938643366098404,0.11471385475625283,-9.830290403306483,-0.17005659733433276
