timestamp[ns],pos_z[m]
1652274620958988800,-1.5813740491867065
1652274620981256960,-1.5813740491867065
1652274621000699136,-1.5812594890594482
1652274621022305024,-1.5810025930404663
1652274621058216192,-1.580785870552063
1652274621090120960,-1.5807183980941772
1652274621125127936,-1.580599308013916
1652274621196804096,-1.5806022882461548
1652274621214144000,-1.5805575847625732
1652274621237160960,-1.5805575847625732
1652274621256613120,-1.5806939601898193
1652274621289588992,-1.580740213394165
1652274621325115904,-1.580773115158081
1652274621357635072,-1.5808876752853394
1652274621411304960,-1.5809516906738281
1652274621422793984,-1.5809516906738281
1652274621456305920,-1.581015944480896
1652274621489031168,-1.5809779167175293
1652274621523041024,-1.5810658931732178
1652274621556047872,-1.5810089111328125
1652274621589668096,-1.5809253454208374
1652274621624013824,-1.580985426902771
1652274621678599168,-1.5808674097061157
1652274621693267968,-1.5808674097061157
1652274621723833088,-1.5808696746826172
1652274621756673024,-1.5807863473892212
1652274621789436160,-1.5806488990783691
1652274621824567040,-1.5806050300598145
1652274621856990208,-1.5804722309112549
1652274621914484992,-1.5803654193878174
1652274621929900800,-1.5804237127304077
1652274621966855168,-1.5804615020751953
1652274621989604096,-1.5805444717407227
1652274622023763968,-1.5807956457138062
1652274622056896000,-1.5809590816497803
1652274622089138944,-1.581132173538208
1652274622126938112,-1.581337571144104
1652274622178432000,-1.5814778804779053
1652274622212878080,-1.5814778804779053
1652274622228537088,-1.5815974473953247
1652274622257011968,-1.5816805362701416
1652274622290008064,-1.5818676948547363
1652274622328898816,-1.582089900970459
1652274622357084928,-1.5823395252227783
1652274622412598016,-1.5832840204238892
1652274622423600896,-1.5832840204238892
1652274622456864000,-1.5836273431777954
1652274622490827008,-1.5842031240463257
1652274622524334080,-1.584876298904419
1652274622565609984,-1.5864109992980957
1652274622588331008,-1.5864109992980957
1652274622623009792,-1.5872523784637451
1652274622678682112,-1.588930368423462
1652274622690949888,-1.588930368423462
1652274622724095232,-1.5906428098678589
1652274622755943936,-1.5906428098678589
1652274622791397120,-1.5914493799209595
1652274622823017984,-1.5921485424041748
1652274622856460032,-1.5934773683547974
1652274622897960960,-1.5934773683547974
1652274622934132992,-1.5944995880126953
1652274622955749888,-1.5950466394424438
1652274622987895040,-1.5950466394424438
1652274623023367936,-1.5960055589675903
1652274623055810816,-1.596398115158081
1652274623088707840,-1.596845030784607
1652274623122721792,-1.5973727703094482
1652274623209970944,-1.5981719493865967
1652274623228660992,-1.5985747575759888
1652274623240359168,-1.5985747575759888
1652274623255682048,-1.5988682508468628
1652274623288710144,-1.5991687774658203
1652274623323723008,-1.5995718240737915
1652274623355723008,-1.5999138355255127
1652274623406263040,-1.6003639698028564
1652274623427380992,-1.6008590459823608
1652274623455881984,-1.6012256145477295
1652274623488621056,-1.6017221212387085
1652274623524517120,-1.602156162261963
1652274623556598784,-1.6024361848831177
1652274623591655936,-1.602903962135315
1652274623623575040,-1.6030919551849365
1652274623674963968,-1.6033663749694824
1652274623689716224,-1.6034626960754395
1652274623723697920,-1.6036381721496582
1652274623759108096,-1.6037520170211792
1652274623789766144,-1.604081630706787
1652274623823802880,-1.6043204069137573
1652274623856880896,-1.6046744585037231
1652274623897494016,-1.6048972606658936
1652274623938365952,-1.6051503419876099
1652274623966749952,-1.6054961681365967
1652274624005848832,-1.605631947517395
1652274624028732928,-1.605789065361023
1652274624055515136,-1.606069564819336
1652274624088769024,-1.6061327457427979
1652274624123096832,-1.6062281131744385
1652274624172691200,-1.606355905532837
1652274624188206080,-1.6064211130142212
1652274624225064960,-1.6063789129257202
1652274624256609792,-1.6065170764923096
1652274624288669184,-1.6063640117645264
1652274624323437824,-1.6063237190246582
1652274624358258944,-1.6062748432159424
1652274624395858944,-1.606039047241211
1652274624431773952,-1.605979561805725
1652274624455504896,-1.6059330701828003
1652274624488550912,-1.6057761907577515
1652274624523924224,-1.6058412790298462
1652274624555788032,-1.6057156324386597
1652274624592626176,-1.605481505393982
1652274624625272064,-1.6055104732513428
1652274624681349888,-1.605019211769104
1652274624695049984,-1.605019211769104
1652274624723262976,-1.605015516281128
1652274624763159040,-1.604798436164856
1652274624800561920,-1.6045478582382202
1652274624842116096,-1.6045235395431519
1652274624856728064,-1.6042410135269165
1652274624913368064,-1.604162573814392
1652274624933163776,-1.6038172245025635
1652274624961876992,-1.6035759449005127
1652274624989758976,-1.6034905910491943
1652274625024344064,-1.603183388710022
1652274625056448000,-1.602838397026062
1652274625090380032,-1.6026679277420044
1652274625122632960,-1.602281093597412
1652274625180679936,-1.6015912294387817
1652274625194721024,-1.6015912294387817
1652274625224164096,-1.6010339260101318
1652274625259533824,-1.6008130311965942
1652274625290426880,-1.6001582145690918
1652274625324436992,-1.5995932817459106
1652274625359689984,-1.5993436574935913
1652274625440610816,-1.5980072021484375
1652274625456055040,-1.5979034900665283
1652274625472166912,-1.597215175628662
1652274625491777792,-1.597215175628662
1652274625525938944,-1.5966730117797852
1652274625560888064,-1.5963236093521118
1652274625592112896,-1.5955690145492554
1652274625623763968,-1.5949090719223022
1652274625693073152,-1.59383225440979
1652274625707188992,-1.5931072235107422
1652274625722989056,-1.5931072235107422
1652274625757438976,-1.5927886962890625
