time_sec,pN_fused,pE_fused,vN_fused,vE_fused,pN_ins,pE_ins,vN_ins,vE_ins
1652274616.4609432,1.1700710773684877,0.12668215281609693,3.7584683322542083,0.3239331460309709,155.99367469640018,9.609566648573601,54.478629372332385,4.098921951205305
1652274616.4639416,1.1813824639272927,0.1276562017902942,3.786802116060799,0.3258070871415039,156.15705892164092,9.621859140782664,54.50696315613897,4.100795892315838
1652274616.4669423,1.1927885476900955,0.12863676326844553,3.8151454523487587,0.3277193203023822,156.32066768769795,9.634167809467025,54.53530649242693,4.102708125476716
1652274616.4699404,1.2042688603356828,0.12962207180771537,3.8434612032444293,0.32958773827892246,156.48420785466425,9.646470594844027,54.563622243322605,4.104576543453256
1652274616.4729414,1.215845996453365,0.13061395932927267,3.8718314624037506,0.33143088000705045,156.64800065743736,9.658791555968929,54.59199250248193,4.106419685181384
1652274616.4759398,1.2274972672638322,0.13161048379875928,3.9001590777922908,0.33330165225594904,156.81172476692979,9.671106523673282,54.62032011787047,4.108290457430283
1652274616.4789407,1.2392444065982275,0.1326134832935172,3.9284279775658435,0.3351222625095566,156.9756875729196,9.683438596771385,54.64858901764402,4.11011106768389
1652274616.4819388,1.2510641788584769,0.13362082097107247,3.9566348508175233,0.33688060709172096,157.1395671995006,9.695763411286674,54.6767958908957,4.111869412266055
1652274616.48494,1.2629817952031501,0.1346345371516534,3.9848849114444413,0.33862755230681424,157.30371346686192,9.708107167467732,54.705045951522614,4.113616357481148
1652274616.4879384,1.2749718979786995,0.13565244861413717,4.013123791934974,0.340371192626098,157.46777640831942,9.720443522165084,54.73328483201315,4.115359997800432
1652274616.4909391,1.287056979335998,0.1366765034196743,4.0413633351675555,0.3421427272048957,157.63206417197094,9.73279568417683,54.76152437524573,4.11713153237923
1652274616.4939375,1.2992163457148107,0.13770500614263537,4.069552805071031,0.34392092743420627,157.7962963770317,9.745142630134659,54.7897138451492,4.11890973260854
1652274616.4969387,1.3114717880905993,0.13873977739079688,4.097780092723741,0.34567647734798573,157.9607674860629,9.757506474986164,54.81794113280191,4.12066528252232
1652274616.4999368,1.3238003836913024,0.13977885260200992,4.126020550248706,0.3474395649677499,158.12516892034557,9.769863993432244,54.84618159032688,4.122428370142084
1652274616.502938,0.8964424282230175,0.11028306802522703,2.9995134600643087,0.2691188851376559,158.28980954901493,9.782238575592247,54.87444550849787,4.1243022555536255
1652274616.5059361,0.9054780397170024,0.11109275104228093,3.027699210423788,0.27098089036897227,158.45438031677162,9.794607146963685,54.90263125885735,4.126164260784942
1652274616.5089374,0.9146067414313744,0.11190868362262463,3.0558956154340726,0.27277696034630033,158.61919025455737,9.806992824094783,54.93082766386763,4.127960330762271
1652274616.5119355,0.923811454935298,0.11272929301066761,3.0841167009426216,0.27461126063097285,158.78393012432403,9.81937232183721,54.95904874937618,4.129794631046943
1652274616.514937,0.9331104195842634,0.1135562732944023,3.112417017928219,0.27646204768335964,158.94892360502695,9.831770033598644,54.98734906636178,4.13164541809933
1652274616.5179355,0.9424854851297954,0.11438794131818339,3.140694872660709,0.27825548290571395,159.1138471068178,9.844161576903751,55.01562692109427,4.133438853321684
1652274616.5209365,0.9519534051280302,0.11522564464733867,3.168963490062964,0.28001093857561354,159.27899626288738,9.856569024783662,55.04389553849652,4.135194308991584
1652274616.5239348,0.9614971718819297,0.11606782903123637,3.1972145977820228,0.28176890254467934,159.44407518590398,9.868970097521943,55.07214664621558,4.13695227296065
1652274616.5269358,0.9711347802433165,0.11691599752136106,3.2255283283745473,0.28347176359019083,159.60939403033674,9.881388010562823,55.1004603768081,4.138655134006161
1652274616.5299342,0.9808481944048911,0.11776841920656707,3.253813213403332,0.2851368784582982,159.77464260076104,9.893799320602414,55.12874526183688,4.140320248874268
1652274616.532935,0.9906547182005028,0.11862652549667715,3.2820567024144145,0.28677537128448916,159.94011708064542,9.906226184516335,55.156988750847965,4.141958741700459
1652274616.535939,1.00055620297199,0.1194904145305011,3.3103542211619588,0.2884021535791253,160.10584588129694,9.918670674297285,55.18528626959551,4.143585523995095
1652274616.5389402,1.010534296631757,0.120358354661409,3.338729429207162,0.2899654916544041,160.27151849101068,9.93110934590589,55.21366147764071,4.145148862070374
1652274616.5419385,1.020587267858198,0.1212300274258276,3.3671139542090343,0.29148459987739017,160.43710661849983,9.943539907024693,55.24204600264258,4.14666797029336
